supplier_id,supplier_name,category,M1_Status,Adjusted_Cost_Index,cost_rank,cost_rank_pct,cost_baseline_label,ESG_Position_Tier,esg_tier_numeric,reference_supplier_id,reference_supplier_cost,reference_supplier_esg,required_esg_premium_pct,accepted_under_0pct,accepted_under_5pct,accepted_under_10pct,accepted_under_15pct,tradeoff_case,tradeoff_status,tqrdc_warning_count,tqrdc_risk_label,tqrdc_risk_reason,Strategic_Pool,pool_reason,management_rank,management_rank_note
S14,Supplier_S14,Critical_Raw,PASS,0.3074850299401197,1,0.0,Cost Tier 1,ESG Monitor,1,,,,0.0,Not applicable,Not applicable,Not applicable,Not applicable,no_lower_cost_lower_esg_reference,no_tradeoff_needed,1,Moderate diagnostic concern,high risk_level,Core,Adequate cost-ESG position; minor or no diagnostic concerns,1,M1 PASS | Core | Cost Tier 1 | ESG Monitor | Moderate diagnostic concern
S13,Supplier_S13,Critical_Raw,PASS,0.5309001284278915,2,33.3,Cost Tier 2,ESG Monitor,1,,,,0.0,Not applicable,Not applicable,Not applicable,Not applicable,no_lower_cost_lower_esg_reference,no_tradeoff_needed,0,Low diagnostic concern,No diagnostic warnings,Core,Adequate cost-ESG position; minor or no diagnostic concerns,2,M1 PASS | Core | Cost Tier 2 | ESG Monitor | Low diagnostic concern
S15,Supplier_S15,Critical_Raw,PASS,0.675,3,66.7,Cost Tier 3,ESG Compliant,2,S13,0.5309001284278915,ESG Monitor,27.14,No,No,No,No,has_lower_cost_lower_esg_reference,esg_not_justified_cost_gap_too_high,2,High diagnostic concern,high risk_level; C: Adjusted cost outlier / Cost pressure,Core,Adequate cost-ESG position; minor or no diagnostic concerns,3,M1 PASS | Core | Cost Tier 3 | ESG Compliant | High diagnostic concern
S16,Supplier_S16,Critical_Raw,PASS,0.6848392774019839,4,100.0,Cost Tier 4,ESG Monitor,1,,,,0.0,Not applicable,Not applicable,Not applicable,Not applicable,no_lower_cost_lower_esg_reference,lower_esg_or_no_esg_advantage,3,High diagnostic concern,high risk_level; high delivery_risk; C: Adjusted cost outlier / Cost pressure,Restricted,2 high diagnostic flags; needs management review,4,M1 PASS | Restricted | Cost Tier 4 | ESG Monitor | High diagnostic concern
S37,Supplier_S37,General_Comp,PASS,0.2527106512662488,1,0.0,Cost Tier 1,ESG Compliant,2,,,,0.0,Not applicable,Not applicable,Not applicable,Not applicable,no_lower_cost_lower_esg_reference,no_tradeoff_needed,1,Moderate diagnostic concern,high risk_level,Core,Adequate cost-ESG position; minor or no diagnostic concerns,1,M1 PASS | Core | Cost Tier 1 | ESG Compliant | Moderate diagnostic concern
S32,Supplier_S32,General_Comp,PASS,0.257142382377493,2,7.7,Cost Tier 1,ESG Compliant,2,,,,0.0,Not applicable,Not applicable,Not applicable,Not applicable,no_lower_cost_lower_esg_reference,no_tradeoff_needed,1,Moderate diagnostic concern,high risk_level,Core,Adequate cost-ESG position; minor or no diagnostic concerns,2,M1 PASS | Core | Cost Tier 1 | ESG Compliant | Moderate diagnostic concern
S30,Supplier_S30,General_Comp,PASS,0.3107201864615522,3,15.4,Cost Tier 1,ESG Monitor,1,,,,0.0,Not applicable,Not applicable,Not applicable,Not applicable,no_lower_cost_lower_esg_reference,no_tradeoff_needed,0,Low diagnostic concern,No diagnostic warnings,Core,Adequate cost-ESG position; minor or no diagnostic concerns,3,M1 PASS | Core | Cost Tier 1 | ESG Monitor | Low diagnostic concern
S36,Supplier_S36,General_Comp,PASS,0.3948961074239028,5,30.8,Cost Tier 2,ESG Monitor,1,,,,0.0,Not applicable,Not applicable,Not applicable,Not applicable,no_lower_cost_lower_esg_reference,no_tradeoff_needed,1,Moderate diagnostic concern,high risk_level,Core,Adequate cost-ESG position; minor or no diagnostic concerns,4,M1 PASS | Core | Cost Tier 2 | ESG Monitor | Moderate diagnostic concern
S27,Supplier_S27,General_Comp,PASS,0.4185331881216978,7,46.2,Cost Tier 2,ESG Monitor,1,,,,0.0,Not applicable,Not applicable,Not applicable,Not applicable,no_lower_cost_lower_esg_reference,no_tradeoff_needed,0,Low diagnostic concern,No diagnostic warnings,Core,Adequate cost-ESG position; minor or no diagnostic concerns,5,M1 PASS | Core | Cost Tier 2 | ESG Monitor | Low diagnostic concern
S33,Supplier_S33,General_Comp,PASS,0.4340432301628472,9,61.5,Cost Tier 3,ESG Leader,3,S28,0.4285657326754317,ESG Monitor,1.28,No,Yes,Yes,Yes,has_lower_cost_lower_esg_reference,esg_justified_under_5pct,0,Low diagnostic concern,No diagnostic warnings,Core,Adequate cost-ESG position; minor or no diagnostic concerns,6,M1 PASS | Core | Cost Tier 3 | ESG Leader | Low diagnostic concern
S29,Supplier_S29,General_Comp,PASS,0.4661047742353482,10,69.2,Cost Tier 3,ESG Monitor,1,,,,0.0,Not applicable,Not applicable,Not applicable,Not applicable,no_lower_cost_lower_esg_reference,lower_esg_or_no_esg_advantage,1,Moderate diagnostic concern,high risk_level,Core,Adequate cost-ESG position; minor or no diagnostic concerns,7,M1 PASS | Core | Cost Tier 3 | ESG Monitor | Moderate diagnostic concern
S24,Supplier_S24,General_Comp,PASS,0.4690700929926848,11,76.9,Cost Tier 4,ESG Monitor,1,,,,0.0,Not applicable,Not applicable,Not applicable,Not applicable,no_lower_cost_lower_esg_reference,lower_esg_or_no_esg_advantage,2,High diagnostic concern,C: Adjusted cost outlier / Cost pressure; T: Strong capability,Conditional,Conditional: cost quartile Q4,8,M1 PASS | Conditional | Cost Tier 4 | ESG Monitor | High diagnostic concern
S25,Supplier_S25,General_Comp,PASS,0.6,12,84.6,Cost Tier 4,ESG Leader,3,S24,0.4690700929926848,ESG Monitor,27.91,No,No,No,No,has_lower_cost_lower_esg_reference,esg_not_justified_cost_gap_too_high,2,High diagnostic concern,C: Adjusted cost outlier / Cost pressure; T: Strong capability,Conditional,Conditional: cost quartile Q4,9,M1 PASS | Conditional | Cost Tier 4 | ESG Leader | High diagnostic concern
S23,Supplier_S23,General_Comp,PASS,0.6056389576507749,13,92.3,Cost Tier 4,ESG Monitor,1,,,,0.0,Not applicable,Not applicable,Not applicable,Not applicable,no_lower_cost_lower_esg_reference,lower_esg_or_no_esg_advantage,2,High diagnostic concern,C: Adjusted cost outlier / Cost pressure; T: Strong capability,Conditional,Conditional: cost quartile Q4,10,M1 PASS | Conditional | Cost Tier 4 | ESG Monitor | High diagnostic concern
S34,Supplier_S34,General_Comp,PASS,0.6691414031368889,14,100.0,Cost Tier 4,ESG Leader,3,S23,0.6056389576507749,ESG Monitor,10.49,No,No,No,Yes,has_lower_cost_lower_esg_reference,esg_justified_under_15pct,1,Moderate diagnostic concern,C: Adjusted cost outlier / Cost pressure,Conditional,Conditional: cost quartile Q4,11,M1 PASS | Conditional | Cost Tier 4 | ESG Leader | Moderate diagnostic concern
S28,Supplier_S28,General_Comp,PASS,0.4285657326754317,8,53.8,Cost Tier 3,ESG Monitor,1,,,,0.0,Not applicable,Not applicable,Not applicable,Not applicable,no_lower_cost_lower_esg_reference,lower_esg_or_no_esg_advantage,2,High diagnostic concern,high risk_level; T: Capability gap,Restricted,2 high diagnostic flags; needs management review,12,M1 PASS | Restricted | Cost Tier 3 | ESG Monitor | High diagnostic concern
S31,Supplier_S31,General_Comp,LIMITED_QUALITY_TECH,0.3207144876022981,4,23.1,Cost Tier 1,ESG Compliant,2,S30,0.3107201864615522,ESG Monitor,3.22,No,Yes,Yes,Yes,has_lower_cost_lower_esg_reference,esg_justified_under_5pct,2,High diagnostic concern,high risk_level; T: Capability gap,Restricted,Not M1-PASS; retained for diagnostic reference,13,M1 LIMITED_QUALITY_TECH | Restricted | Cost Tier 1 | ESG Compliant | High diagnostic concern
S26,Supplier_S26,General_Comp,LIMITED_QUALITY_TECH,0.4,6,38.5,Cost Tier 2,ESG Monitor,1,,,,0.0,Not applicable,Not applicable,Not applicable,Not applicable,no_lower_cost_lower_esg_reference,no_tradeoff_needed,2,High diagnostic concern,high risk_level; Q: Quality concern flagged in M1,Restricted,Not M1-PASS; retained for diagnostic reference,14,M1 LIMITED_QUALITY_TECH | Restricted | Cost Tier 2 | ESG Monitor | High diagnostic concern
S44,Supplier_S44,General_Raw,PASS,0.2253217393090702,3,22.2,Cost Tier 1,ESG Monitor,1,,,,0.0,Not applicable,Not applicable,Not applicable,Not applicable,no_lower_cost_lower_esg_reference,no_tradeoff_needed,0,Low diagnostic concern,No diagnostic warnings,Core,Adequate cost-ESG position; minor or no diagnostic concerns,1,M1 PASS | Core | Cost Tier 1 | ESG Monitor | Low diagnostic concern
S39,Supplier_S39,General_Raw,PASS,0.4698579115183351,6,55.6,Cost Tier 3,ESG Monitor,1,,,,0.0,Not applicable,Not applicable,Not applicable,Not applicable,no_lower_cost_lower_esg_reference,lower_esg_or_no_esg_advantage,1,Moderate diagnostic concern,high risk_level,Core,Adequate cost-ESG position; minor or no diagnostic concerns,2,M1 PASS | Core | Cost Tier 3 | ESG Monitor | Moderate diagnostic concern
S38,Supplier_S38,General_Raw,PASS,0.5939241874469235,8,77.8,Cost Tier 4,ESG Monitor,1,,,,0.0,Not applicable,Not applicable,Not applicable,Not applicable,no_lower_cost_lower_esg_reference,lower_esg_or_no_esg_advantage,1,Moderate diagnostic concern,C: Adjusted cost outlier / Cost pressure,Conditional,Conditional: cost quartile Q4,3,M1 PASS | Conditional | Cost Tier 4 | ESG Monitor | Moderate diagnostic concern
S48,Supplier_S48,General_Raw,PASS,0.6,9,88.9,Cost Tier 4,ESG Leader,3,S38,0.5939241874469235,ESG Monitor,1.02,No,Yes,Yes,Yes,has_lower_cost_lower_esg_reference,esg_justified_under_5pct,1,Moderate diagnostic concern,C: Adjusted cost outlier / Cost pressure,Conditional,Conditional: cost quartile Q4,4,M1 PASS | Conditional | Cost Tier 4 | ESG Leader | Moderate diagnostic concern
S45,Supplier_S45,General_Raw,PASS,0.1428194505788341,1,0.0,Cost Tier 1,ESG Monitor,1,,,,0.0,Not applicable,Not applicable,Not applicable,Not applicable,no_lower_cost_lower_esg_reference,no_tradeoff_needed,2,High diagnostic concern,high risk_level; T: Capability gap,Restricted,2 high diagnostic flags; needs management review,5,M1 PASS | Restricted | Cost Tier 1 | ESG Monitor | High diagnostic concern
S46,Supplier_S46,General_Raw,PASS,0.1609342658121189,2,11.1,Cost Tier 1,ESG Compliant,2,S45,0.1428194505788341,ESG Monitor,12.68,No,No,No,Yes,has_lower_cost_lower_esg_reference,esg_justified_under_15pct,2,High diagnostic concern,high risk_level; T: Capability gap,Restricted,2 high diagnostic flags; needs management review,6,M1 PASS | Restricted | Cost Tier 1 | ESG Compliant | High diagnostic concern
S40,Supplier_S40,General_Raw,PASS,0.4310577462460019,5,44.4,Cost Tier 2,ESG Monitor,1,,,,0.0,Not applicable,Not applicable,Not applicable,Not applicable,no_lower_cost_lower_esg_reference,no_tradeoff_needed,2,High diagnostic concern,high risk_level; T: Capability gap,Restricted,2 high diagnostic flags; needs management review,7,M1 PASS | Restricted | Cost Tier 2 | ESG Monitor | High diagnostic concern
S49,Supplier_S49,General_Raw,PASS,0.6425176827811608,10,100.0,Cost Tier 4,ESG Monitor,1,,,,0.0,Not applicable,Not applicable,Not applicable,Not applicable,no_lower_cost_lower_esg_reference,lower_esg_or_no_esg_advantage,3,High diagnostic concern,high risk_level; C: Adjusted cost outlier / Cost pressure; T: Capability gap,Restricted,2 high diagnostic flags; needs management review,8,M1 PASS | Restricted | Cost Tier 4 | ESG Monitor | High diagnostic concern
S41,Supplier_S41,General_Raw,LIMITED_QUALITY_TECH,0.3201716738197425,4,33.3,Cost Tier 2,ESG Monitor,1,,,,0.0,Not applicable,Not applicable,Not applicable,Not applicable,no_lower_cost_lower_esg_reference,no_tradeoff_needed,2,High diagnostic concern,high risk_level; Q: Quality concern flagged in M1,Restricted,Not M1-PASS; retained for diagnostic reference,9,M1 LIMITED_QUALITY_TECH | Restricted | Cost Tier 2 | ESG Monitor | High diagnostic concern
S50,Supplier_S50,General_Raw,LIMITED_ETHICS,0.5343263976164734,7,66.7,Cost Tier 3,ESG Monitor,1,,,,0.0,Not applicable,Not applicable,Not applicable,Not applicable,no_lower_cost_lower_esg_reference,lower_esg_or_no_esg_advantage,1,Moderate diagnostic concern,high risk_level,Restricted,Not M1-PASS; retained for diagnostic reference,10,M1 LIMITED_ETHICS | Restricted | Cost Tier 3 | ESG Monitor | Moderate diagnostic concern
S11,Supplier_S11,Key_Component,PASS,0.3019667370170849,1,0.0,Cost Tier 1,ESG Leader,3,,,,0.0,Not applicable,Not applicable,Not applicable,Not applicable,no_lower_cost_lower_esg_reference,no_tradeoff_needed,1,Moderate diagnostic concern,T: Strong capability,Preferred,Strong cost position and ESG profile; no diagnostic concerns,1,M1 PASS | Preferred | Cost Tier 1 | ESG Leader | Moderate diagnostic concern
S08,Supplier_S08,Key_Component,PASS,0.3705675113019632,3,25.0,Cost Tier 1,ESG Leader,3,S10,0.3308282022707193,ESG Compliant,12.01,No,No,No,Yes,has_lower_cost_lower_esg_reference,esg_justified_under_15pct,1,Moderate diagnostic concern,T: Strong capability,Preferred,Strong cost position and ESG profile; no diagnostic concerns,2,M1 PASS | Preferred | Cost Tier 1 | ESG Leader | Moderate diagnostic concern
S07,Supplier_S07,Key_Component,PASS,0.4,4,37.5,Cost Tier 2,ESG Compliant,2,,,,0.0,Not applicable,Not applicable,Not applicable,Not applicable,no_lower_cost_lower_esg_reference,no_tradeoff_needed,1,Moderate diagnostic concern,T: Strong capability,Preferred,Strong cost position and ESG profile; no diagnostic concerns,3,M1 PASS | Preferred | Cost Tier 2 | ESG Compliant | Moderate diagnostic concern
S03,Supplier_S03,Key_Component,PASS,0.4177448441964132,5,50.0,Cost Tier 2,ESG Compliant,2,,,,0.0,Not applicable,Not applicable,Not applicable,Not applicable,no_lower_cost_lower_esg_reference,no_tradeoff_needed,1,Moderate diagnostic concern,T: Strong capability,Preferred,Strong cost position and ESG profile; no diagnostic concerns,4,M1 PASS | Preferred | Cost Tier 2 | ESG Compliant | Moderate diagnostic concern
S05,Supplier_S05,Key_Component,PASS,0.4196074450248413,6,62.5,Cost Tier 3,ESG Leader,3,S03,0.4177448441964132,ESG Compliant,0.45,No,Yes,Yes,Yes,has_lower_cost_lower_esg_reference,esg_justified_under_5pct,1,Moderate diagnostic concern,T: Strong capability,Core,Adequate cost-ESG position; minor or no diagnostic concerns,5,M1 PASS | Core | Cost Tier 3 | ESG Leader | Moderate diagnostic concern
S04,Supplier_S04,Key_Component,PASS,0.4265088766307527,7,75.0,Cost Tier 3,ESG Compliant,2,,,,0.0,Not applicable,Not applicable,Not applicable,Not applicable,no_lower_cost_lower_esg_reference,lower_esg_or_no_esg_advantage,2,High diagnostic concern,C: Adjusted cost outlier / Cost pressure; T: Strong capability,Core,Adequate cost-ESG position; minor or no diagnostic concerns,6,M1 PASS | Core | Cost Tier 3 | ESG Compliant | High diagnostic concern
S09,Supplier_S09,Key_Component,PASS,0.6,8,87.5,Cost Tier 4,ESG Leader,3,S04,0.4265088766307527,ESG Compliant,40.68,No,No,No,No,has_lower_cost_lower_esg_reference,esg_not_justified_cost_gap_too_high,2,High diagnostic concern,C: Adjusted cost outlier / Cost pressure; T: Strong capability,Conditional,Conditional: cost quartile Q4,7,M1 PASS | Conditional | Cost Tier 4 | ESG Leader | High diagnostic concern
S02,Supplier_S02,Key_Component,PASS,0.6782620524393883,9,100.0,Cost Tier 4,ESG Leader,3,S04,0.4265088766307527,ESG Compliant,59.03,No,No,No,No,has_lower_cost_lower_esg_reference,esg_not_justified_cost_gap_too_high,2,High diagnostic concern,C: Adjusted cost outlier / Cost pressure; T: Strong capability,Conditional,Conditional: cost quartile Q4,8,M1 PASS | Conditional | Cost Tier 4 | ESG Leader | High diagnostic concern
S10,Supplier_S10,Key_Component,LIMITED_QUALITY_TECH,0.3308282022707193,2,12.5,Cost Tier 1,ESG Compliant,2,,,,0.0,Not applicable,Not applicable,Not applicable,Not applicable,no_lower_cost_lower_esg_reference,no_tradeoff_needed,1,Moderate diagnostic concern,Q: Quality concern flagged in M1,Restricted,Not M1-PASS; retained for diagnostic reference,9,M1 LIMITED_QUALITY_TECH | Restricted | Cost Tier 1 | ESG Compliant | Moderate diagnostic concern
